Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.022017917,-0.091908875,9.781409454,0.878523102
0.042027917,-0.076640625,9.764794006,0.885408783
0.062036917,-0.117954712,9.782457275,0.93375824
0.082046916,-0.11705658,9.782008209,1.009051666
0.102055917,-0.088016968,9.756561127,1.04602478
0.122064917,-0.108973389,9.79248642,1.043629761
0.142074917,-0.121547241,9.794582062,0.990939331
0.162083917,-0.101039886,9.804461517,0.937051392
0.182092917,-0.105530548,9.768386536,0.925375671
0.202102917,-0.114212494,9.786349182,0.939296722
0.222111917,-0.112715607,9.779313812,0.980910187
0.242121916,-0.101039886,9.780062256,1.003513184
0.262130917,-0.111518097,9.783355408,1.006956024
0.282139917,-0.107476501,9.775571594,0.974473572
0.302149917,-0.104033661,9.761351166,0.954714661
0.322158917,-0.101189575,9.749974823,0.926423492
0.342168916,-0.11002121,9.799821167,0.954415283
0.362177917,-0.115110626,9.780960388,0.979113922
0.382187917,-0.096698914,9.720935211,1.013991394
0.402196917,-0.111218719,9.79832428,0.997525635
0.422205917,-0.10418335,9.821975098,1.003213806
0.442215916,-0.107027435,9.785001984,0.968336334
0.462224917,-0.111218719,9.792187042,0.972677307
0.482234917,-0.110919342,9.760153656,0.965791626
0.502243917,-0.112416229,9.800569611,0.978964233
0.522253917,-0.109272766,9.766590271,1.000669098
0.542262917,-0.106578369,9.775721283,0.994082794
0.562272917,-0.097447357,9.768685913,0.983903961
0.582281917,-0.100890198,9.783954163,0.968036957
0.602290916,-0.094902649,9.784852295,0.97462326
0.622300917,-0.101189575,9.780062256,0.967138824
0.642309917,-0.111518097,9.779762878,0.989442444
0.662319917,-0.111069031,9.773475952,0.987646179
0.682333292,-0.120948486,9.793384552,0.981958008
0.702343292,-0.111069031,9.763446808,0.979712677
0.722352292,-0.111967163,9.787097626,0.977617035
0.742362292,-0.106129303,9.771080933,0.982107697
0.762371292,-0.105081482,9.803114319,0.981508942
0.782381292,-0.113314362,9.786798248,0.987646179
0.802390292,-0.109572144,9.786349182,0.981508942
0.822400292,-0.100141754,9.764794006,0.983903961
0.842409292,-0.108973389,9.77602066,0.981808319
0.862419292,-0.104033661,9.773176575,0.9794133
0.882428291,-0.099243622,9.790690155,0.979562988
0.902438292,-0.099093933,9.778565369,0.984203339
0.922447292,-0.109422455,9.77257782,0.982407074
0.942457292,-0.107925568,9.77138031,0.984502716
0.962466292,-0.110470276,9.772428131,0.984203339
0.982476291,-0.106578369,9.777068481,0.984951782
1.002485292,-0.109123077,9.774224396,0.983454895
1.022495292,-0.113164673,9.795180817,0.989741821
1.042504292,-0.104482727,9.779762878,0.980012054
1.062514292,-0.102836151,9.797426147,0.988694
1.082524291,-0.107177124,9.790540466,0.987197113
1.102533292,-0.116308136,9.797875214,0.984951782
1.122543292,-0.103135529,9.7701828,0.981808319
1.142552292,-0.095351715,9.789492645,0.991238708
1.162562292,-0.108524323,9.771829376,0.989592133
1.182571292,-0.09834549,9.766290894,0.980311432
1.202581292,-0.096100159,9.761051788,0.989143066
1.222590292,-0.10178833,9.776619415,0.997974701
1.242600292,-0.106877747,9.785151672,0.989741821
1.262609292,-0.112416229,9.78664856,0.984502716
1.282619292,-0.104482727,9.783355408,0.984502716
1.302628292,-0.109123077,9.752070465,0.98285614
1.322638292,-0.115260315,9.787995758,0.978664856
1.342648291,-0.107326813,9.803413696,0.982706451
1.362657292,-0.110619965,9.803862762,0.970431976
1.382667292,-0.114062805,9.763446808,0.977167969
1.402676292,-0.108224945,9.782756653,0.984802094
1.422686292,-0.111518097,9.780062256,0.983155518
